node,in-degree,out-degree,edge-count
4377,8.0,2975.0,2983.0
10065,230.0,0.0,230.0
2061,374.0,0.0,374.0
7221,205.0,0.0,205.0
12114,178.0,0.0,178.0
9864,265.0,0.0,265.0
7854,284.0,0.0,284.0
11990,262.0,0.0,262.0
11035,128.0,0.0,128.0
11454,166.0,1.0,167.0
11850,68.0,0.0,68.0
1366,342.0,0.0,342.0
10796,118.0,0.0,118.0
3764,629.0,0.0,629.0
11933,55.0,0.0,55.0
4230,266.0,0.0,266.0
12086,101.0,7.0,108.0
5120,565.0,0.0,565.0
10907,62.0,0.0,62.0
9978,102.0,0.0,102.0
12066,28.0,10.0,38.0
11792,107.0,0.0,107.0
5279,892.0,0.0,892.0
10478,331.0,0.0,331.0
2747,613.0,1.0,614.0
2699,459.0,79.0,538.0
2247,890.0,10.0,900.0
12018,287.0,0.0,287.0
3316,1118.0,0.0,1118.0
12024,189.0,35.0,224.0
3571,62.0,0.0,62.0
5619,68.0,0.0,68.0
11058,25.0,0.0,25.0
10493,30.0,0.0,30.0
11413,28.0,0.0,28.0
11351,28.0,0.0,28.0
3918,33.0,0.0,33.0
11443,28.0,0.0,28.0
11708,30.0,0.0,30.0
11084,31.0,0.0,31.0
11061,42.0,0.0,42.0
2498,69.0,0.0,69.0
10887,30.0,0.0,30.0
2764,77.0,0.0,77.0
11984,35.0,0.0,35.0
10672,52.0,0.0,52.0
11352,54.0,0.0,54.0
9602,15.0,0.0,15.0
11861,27.0,0.0,27.0
11842,13.0,0.0,13.0
10826,27.0,0.0,27.0
3191,50.0,0.0,50.0
10922,39.0,0.0,39.0
12008,39.0,0.0,39.0
10984,56.0,0.0,56.0
11810,26.0,0.0,26.0
11932,38.0,0.0,38.0
10012,51.0,0.0,51.0
11174,31.0,0.0,31.0
9024,47.0,0.0,47.0
11843,16.0,0.0,16.0
11801,11.0,0.0,11.0
10942,36.0,0.0,36.0
11866,17.0,0.0,17.0
11387,42.0,0.0,42.0
2808,82.0,0.0,82.0
9529,60.0,0.0,60.0
10915,24.0,0.0,24.0
11642,26.0,0.0,26.0
10219,27.0,0.0,27.0
11723,28.0,0.0,28.0
4239,17.0,0.0,17.0
10911,49.0,0.0,49.0
11857,35.0,0.0,35.0
11785,28.0,0.0,28.0
10901,53.0,0.0,53.0
12507,23.0,0.0,23.0
12340,70.0,0.0,70.0
6925,66.0,0.0,66.0
12058,7.0,0.0,7.0
12041,14.0,0.0,14.0
11924,14.0,0.0,14.0
12016,15.0,0.0,15.0
12440,3.0,0.0,3.0
3215,2.0,52.0,54.0
3055,2.0,62.0,64.0
11452,67.0,5.0,72.0
11996,94.0,0.0,94.0
9508,93.0,1692.0,1785.0
10445,243.0,0.0,243.0
11318,71.0,60.0,131.0
7172,565.0,0.0,565.0
11433,98.0,0.0,98.0
1552,1767.0,0.0,1767.0
6184,1028.0,0.0,1028.0
1550,884.0,0.0,884.0
8481,156.0,0.0,156.0
6381,371.0,0.0,371.0
11367,75.0,0.0,75.0
6334,306.0,0.0,306.0
11234,59.0,35.0,94.0
6343,328.0,0.0,328.0
3567,390.0,0.0,390.0
1456,1945.0,0.0,1945.0
3917,362.0,0.0,362.0
6207,298.0,0.0,298.0
7768,655.0,0.0,655.0
1905,692.0,0.0,692.0
4922,588.0,0.0,588.0
7691,1464.0,0.0,1464.0
5180,1699.0,0.0,1699.0
3298,167.0,0.0,167.0
6170,279.0,0.0,279.0
9022,581.0,0.0,581.0
400,971.0,4.0,975.0
11674,179.0,0.0,179.0
139,1242.0,0.0,1242.0
5217,969.0,1.0,970.0
3642,824.0,0.0,824.0
9206,113.0,170.0,283.0
5768,221.0,19.0,240.0
5851,315.0,5.0,320.0
11411,602.0,0.0,602.0
11363,198.0,0.0,198.0
361,815.0,0.0,815.0
9152,354.0,0.0,354.0
6577,500.0,6.0,506.0
11365,416.0,0.0,416.0
8624,110.0,3.0,113.0
4172,326.0,2.0,328.0
2048,324.0,0.0,324.0
10833,30.0,0.0,30.0
1343,194.0,0.0,194.0
3746,83.0,0.0,83.0
5624,52.0,0.0,52.0
11490,14.0,0.0,14.0
5564,84.0,0.0,84.0
8012,73.0,0.0,73.0
9591,39.0,0.0,39.0
6095,106.0,0.0,106.0
5867,181.0,0.0,181.0
5470,44.0,0.0,44.0
10191,131.0,0.0,131.0
7029,101.0,0.0,101.0
1499,105.0,98.0,203.0
8892,67.0,0.0,67.0
7545,119.0,0.0,119.0
9691,42.0,0.0,42.0
10257,55.0,0.0,55.0
1455,208.0,0.0,208.0
6194,284.0,0.0,284.0
4319,106.0,0.0,106.0
9088,63.0,0.0,63.0
8654,24.0,0.0,24.0
6730,20.0,43.0,63.0
6269,1214.0,0.0,1214.0
968,19.0,0.0,19.0
102,1345.0,0.0,1345.0
9376,624.0,0.0,624.0
2465,388.0,0.0,388.0
4649,47.0,195.0,242.0
11496,1449.0,0.0,1449.0
6348,483.0,1.0,484.0
