node,in-degree,out-degree,edge-count
2543,583.0,483.0,1066.0
2897,332.0,248.0,580.0
2885,681.0,636.0,1317.0
4891,188.0,70.0,258.0
2258,380.0,233.0,613.0
2145,1067.0,1199.0,2266.0
1074,195.0,62.0,257.0
7518,641.0,424.0,1065.0
1313,166.0,155.0,321.0
2891,2950.0,6464.0,9414.0
4238,867.0,1924.0,2791.0
3372,514.0,1263.0,1777.0
151,687.0,2726.0,3413.0
4370,1177.0,994.0,2171.0
687,252.0,126.0,378.0
5574,539.0,429.0,968.0
4384,256.0,328.0,584.0
4,206.0,283.0,489.0
2115,599.0,2285.0,2884.0
2457,257.0,282.0,539.0
5053,165.0,51.0,216.0
1312,179.0,59.0,238.0
753,421.0,287.0,708.0
3528,370.0,1279.0,1649.0
3747,326.0,334.0,660.0
1124,250.0,86.0,336.0
9706,571.0,910.0,1481.0
945,781.0,1287.0,2068.0
1804,820.0,835.0,1655.0
930,212.0,77.0,289.0
1342,151.0,34.0,185.0
4633,515.0,866.0,1381.0
4657,271.0,128.0,399.0
6193,902.0,4962.0,5864.0
9616,45.0,47.0,92.0
1499,112.0,98.0,210.0
3134,580.0,792.0,1372.0
7428,341.0,187.0,528.0
1271,357.0,278.0,635.0
1925,1115.0,987.0,2102.0
8561,244.0,166.0,410.0
1324,375.0,241.0,616.0
6730,305.0,145.0,450.0
3429,166.0,47.0,213.0
2331,994.0,927.0,1921.0
2650,169.0,59.0,228.0
2682,613.0,566.0,1179.0
3645,206.0,105.0,311.0
557,516.0,518.0,1034.0
5181,374.0,266.0,640.0
4504,263.0,143.0,406.0
7663,83.0,17.0,100.0
2144,126.0,5.0,131.0
1148,166.0,61.0,227.0
3522,594.0,624.0,1218.0
3822,190.0,34.0,224.0
1909,274.0,231.0,505.0
3712,334.0,223.0,557.0
1222,307.0,246.0,553.0
1096,243.0,112.0,355.0
140,333.0,219.0,552.0
1485,1.0,0.0,1.0
2216,352.0,207.0,559.0
2230,202.0,98.0,300.0
4357,139.0,233.0,372.0
3165,389.0,318.0,707.0
7576,235.0,113.0,348.0
1323,216.0,84.0,300.0
1376,510.0,402.0,912.0
8135,175.0,64.0,239.0
5614,341.0,254.0,595.0
6198,473.0,561.0,1034.0
6795,158.0,31.0,189.0
7446,201.0,103.0,304.0
5125,184.0,49.0,233.0
5458,457.0,409.0,866.0
5095,213.0,419.0,632.0
7889,758.0,746.0,1504.0
2276,123.0,10.0,133.0
5670,322.0,466.0,788.0
1669,251.0,219.0,470.0
10461,352.0,454.0,806.0
521,204.0,74.0,278.0
2083,419.0,783.0,1202.0
1026,1170.0,4744.0,5914.0
6276,1200.0,2011.0,3211.0
608,143.0,7.0,150.0
978,248.0,179.0,427.0
216,603.0,1901.0,2504.0
775,398.0,585.0,983.0
31,341.0,157.0,498.0
197,212.0,85.0,297.0
52,390.0,336.0,726.0
1920,866.0,4205.0,5071.0
4258,349.0,263.0,612.0
1,310.0,217.0,527.0
2909,325.0,151.0,476.0
47,349.0,225.0,574.0
6018,164.0,52.0,216.0
4618,193.0,82.0,275.0
4506,125.0,81.0,206.0
9867,116.0,28.0,144.0
2157,746.0,919.0,1665.0
2120,199.0,64.0,263.0
8821,263.0,143.0,406.0
6690,229.0,184.0,413.0
11059,134.0,76.0,210.0
8406,233.0,96.0,329.0
306,279.0,110.0,389.0
93,206.0,39.0,245.0
46,109.0,16.0,125.0
142,192.0,44.0,236.0
2587,143.0,45.0,188.0
9522,164.0,166.0,330.0
2967,145.0,40.0,185.0
8063,223.0,95.0,318.0
1082,7.0,4.0,11.0
1256,3.0,3.0,6.0
2,354.0,241.0,595.0
8337,71.0,28.0,99.0
8424,318.0,275.0,593.0
550,282.0,150.0,432.0
3592,101.0,185.0,286.0
2231,259.0,745.0,1004.0
6918,196.0,67.0,263.0
5514,408.0,296.0,704.0
897,196.0,418.0,614.0
2045,195.0,76.0,271.0
10452,208.0,62.0,270.0
8408,190.0,61.0,251.0
2063,509.0,392.0,901.0
8517,282.0,184.0,466.0
10878,158.0,41.0,199.0
5649,263.0,176.0,439.0
6421,249.0,112.0,361.0
597,982.0,583.0,1565.0
4323,285.0,183.0,468.0
787,2086.0,7519.0,9605.0
3907,51.0,28.0,79.0
725,433.0,96.0,529.0
78,346.0,68.0,414.0
378,306.0,56.0,362.0
3846,285.0,120.0,405.0
7580,96.0,0.0,96.0
4204,126.0,34.0,160.0
1962,419.0,279.0,698.0
4811,842.0,704.0,1546.0
922,17.0,17.0,34.0
3753,186.0,23.0,209.0
7005,277.0,133.0,410.0
1688,583.0,1034.0,1617.0
1673,378.0,286.0,664.0
4938,315.0,177.0,492.0
9450,332.0,327.0,659.0
1558,205.0,50.0,255.0
3539,169.0,11.0,180.0
2917,87.0,29.0,116.0
4799,593.0,447.0,1040.0
6129,408.0,556.0,964.0
2855,168.0,11.0,179.0
107,52.0,22.0,74.0
3302,247.0,91.0,338.0
477,136.0,87.0,223.0
6091,161.0,3.0,164.0
5681,310.0,147.0,457.0
552,32.0,6.0,38.0
7255,179.0,19.0,198.0
3957,350.0,186.0,536.0
4622,596.0,536.0,1132.0
3218,309.0,228.0,537.0
9521,400.0,759.0,1159.0
2251,260.0,95.0,355.0
2141,180.0,21.0,201.0
9293,172.0,14.0,186.0
51,41.0,9.0,50.0
2049,117.0,1.0,118.0
5018,178.0,22.0,200.0
