node,in-degree,out-degree,edge-count
6153,136.0,147.0,283.0
32,338.0,217.0,555.0
2496,1651.0,1651.0,3302.0
2514,714.0,746.0,1460.0
8806,1426.0,1366.0,2792.0
7518,1261.0,662.0,1923.0
4242,61.0,69.0,130.0
921,1337.0,1354.0,2691.0
1258,1951.0,1981.0,3932.0
6161,96.0,79.0,175.0
5795,879.0,829.0,1708.0
11186,12.0,7.0,19.0
8303,87.0,96.0,183.0
216,478.0,452.0,930.0
8465,147.0,204.0,351.0
4370,1171.0,1155.0,2326.0
7651,805.0,892.0,1697.0
5597,132.0,144.0,276.0
663,835.0,829.0,1664.0
7899,224.0,222.0,446.0
4444,189.0,196.0,385.0
7915,239.0,259.0,498.0
4523,2583.0,1437.0,4020.0
9812,21.0,20.0,41.0
4499,891.0,919.0,1810.0
5579,331.0,337.0,668.0
5635,516.0,498.0,1014.0
8805,569.0,615.0,1184.0
6198,1497.0,1553.0,3050.0
3501,344.0,244.0,588.0
7087,351.0,210.0,561.0
2319,109.0,153.0,262.0
6683,606.0,607.0,1213.0
983,1438.0,1431.0,2869.0
7786,71.0,75.0,146.0
12516,10.0,13.0,23.0
505,300.0,310.0,610.0
2129,151.0,96.0,247.0
398,103.0,65.0,168.0
7738,206.0,238.0,444.0
3511,409.0,413.0,822.0
11469,416.0,380.0,796.0
8898,801.0,801.0,1602.0
4064,488.0,403.0,891.0
7179,377.0,405.0,782.0
1459,180.0,162.0,342.0
457,32.0,87.0,119.0
3896,87.0,56.0,143.0
787,1070.0,215.0,1285.0
296,692.0,819.0,1511.0
10301,99.0,112.0,211.0
1668,353.0,329.0,682.0
2173,111.0,116.0,227.0
2190,137.0,144.0,281.0
4518,113.0,120.0,233.0
1857,52.0,49.0,101.0
451,79.0,209.0,288.0
2978,416.0,466.0,882.0
3541,41.0,41.0,82.0
8517,354.0,339.0,693.0
6774,475.0,471.0,946.0
55,188.0,218.0,406.0
4114,2.0,25.0,27.0
7162,1454.0,1344.0,2798.0
597,1069.0,1150.0,2219.0
941,78.0,26.0,104.0
292,122.0,124.0,246.0
2459,94.0,109.0,203.0
6587,913.0,914.0,1827.0
6284,247.0,279.0,526.0
6087,714.0,680.0,1394.0
7840,253.0,259.0,512.0
5559,998.0,1005.0,2003.0
5994,65.0,292.0,357.0
3542,79.0,81.0,160.0
10231,201.0,199.0,400.0
2982,297.0,373.0,670.0
6838,406.0,413.0,819.0
4258,491.0,444.0,935.0
9188,118.0,119.0,237.0
2179,59.0,75.0,134.0
5925,111.0,119.0,230.0
7673,254.0,311.0,565.0
4707,105.0,97.0,202.0
1475,86.0,80.0,166.0
5511,97.0,127.0,224.0
3236,271.0,239.0,510.0
1124,419.0,433.0,852.0
8932,513.0,518.0,1031.0
3367,106.0,85.0,191.0
5398,190.0,193.0,383.0
62,44.0,89.0,133.0
2334,162.0,181.0,343.0
1470,115.0,122.0,237.0
9829,78.0,96.0,174.0
1623,94.0,65.0,159.0
2543,1406.0,1411.0,2817.0
