node,in-degree,out-degree,edge-count,closeness,betweenness,pagerank
3621,6.0,6.0,12.0,0.09634255129348795,0.0,0.016705501369262604
3218,4.0,9.0,13.0,0.023391812865497075,0.011904761904761904,0.014269157255543506
3645,0.0,0.0,0.0,0.0,0.0,0.0052284820827714195
5458,3.0,3.0,6.0,0.10150375939849625,0.0,0.020806921826228737
1688,0.0,1.0,1.0,0.0,0.0,0.0052284820827714195
5301,0.0,0.0,0.0,0.0,0.0,0.0052284820827714195
2141,0.0,0.0,0.0,0.0,0.0,0.0052284820827714195
6193,7.0,7.0,14.0,0.09022556390977443,0.019423558897243107,0.05553065249306918
4633,19.0,19.0,38.0,0.11145510835913312,0.0,0.04384332538185742
9700,7.0,7.0,14.0,0.11145510835913312,0.0010442773600668337,0.020889286808875057
4496,0.0,0.0,0.0,0.0,0.0,0.0052284820827714195
5018,0.0,0.0,0.0,0.0,0.0,0.0052284820827714195
5263,0.0,0.0,0.0,0.0,0.0,0.0052284820827714195
9861,0.0,0.0,0.0,0.0,0.0,0.0052284820827714195
3539,1.0,1.0,2.0,0.07105263157894737,0.0,0.011971241788302485
7428,5.0,5.0,10.0,0.1033492822966507,0.0,0.026147409280833693
3747,4.0,4.0,8.0,0.017543859649122806,0.0,0.03485500308192601
3522,0.0,4.0,4.0,0.0,0.0,0.0052284820827714195
6091,0.0,1.0,1.0,0.0,0.0,0.0052284820827714195
5670,1.0,2.0,3.0,0.10150375939849625,0.0018796992481203006,0.010421295330590524
1673,1.0,0.0,1.0,0.017543859649122806,0.0,0.009672693113436107
1376,18.0,0.0,18.0,0.17422867513611615,0.0,0.03468314011051394
2251,0.0,0.0,0.0,0.0,0.0,0.0052284820827714195
1121,10.0,10.0,20.0,0.03508771929824561,0.006578947368421052,0.026590142932856588
3302,0.0,0.0,0.0,0.0,0.0,0.0052284820827714195
5563,2.0,2.0,4.0,0.03654970760233918,0.0,0.05259989015366791
9521,6.0,2.0,8.0,0.05482456140350877,0.0012531328320802004,0.055719879852428385
6129,0.0,0.0,0.0,0.0,0.0,0.0052284820827714195
2917,0.0,7.0,7.0,0.0,0.0,0.0052284820827714195
4323,0.0,0.0,0.0,0.0,0.0,0.0052284820827714195
9293,0.0,0.0,0.0,0.0,0.0,0.0052284820827714195
5201,2.0,2.0,4.0,0.1033492822966507,0.0,0.013596052961996329
3957,0.0,0.0,0.0,0.0,0.0,0.0052284820827714195
7648,0.0,0.0,0.0,0.0,0.0,0.0052284820827714195
4657,0.0,0.0,0.0,0.0,0.0,0.0052284820827714195
6730,7.0,7.0,14.0,0.11368421052631578,0.02631578947368421,0.04932790710606495
5513,0.0,0.0,0.0,0.0,0.0,0.0052284820827714195
3134,0.0,0.0,0.0,0.0,0.0,0.0052284820827714195
7756,8.0,8.0,16.0,0.12631578947368421,0.01858813700918964,0.022236930601184632
2855,0.0,0.0,0.0,0.0,0.0,0.0052284820827714195
5095,0.0,0.0,0.0,0.0,0.0,0.0052284820827714195
3753,0.0,0.0,0.0,0.0,0.0,0.0052284820827714195
5559,1.0,1.0,2.0,0.07105263157894737,0.0,0.011971241788302485
7255,0.0,0.0,0.0,0.0,0.0,0.0052284820827714195
3822,13.0,9.0,22.0,0.145748987854251,0.0539891395154553,0.054985420371144296
3846,0.0,0.0,0.0,0.0,0.0,0.0052284820827714195
9450,2.0,2.0,4.0,0.017543859649122806,0.0,0.015803153036519253
4938,0.0,0.0,0.0,0.0,0.0,0.0052284820827714195
5681,2.0,3.0,5.0,0.017543859649122806,0.0003132832080200501,0.01866117094698131
2049,4.0,4.0,8.0,0.017543859649122806,0.0,0.03485500308192601
1558,0.0,3.0,3.0,0.0,0.0,0.0052284820827714195
2292,0.0,0.0,0.0,0.0,0.0,0.0052284820827714195
4258,0.0,0.0,0.0,0.0,0.0,0.0052284820827714195
7005,0.0,0.0,0.0,0.0,0.0,0.0052284820827714195
5028,1.0,1.0,2.0,0.1033492822966507,0.0,0.009412267522383874
4799,6.0,6.0,12.0,0.023391812865497075,0.0,0.01878949484192955
5351,38.0,42.0,80.0,0.13533834586466165,0.010025062656641603,0.0945102675623559
4622,12.0,12.0,24.0,0.14958448753462603,0.05670426065162907,0.05906260483390515
