node,in-degree,out-degree,edge-count
7518,57,37417,37474
2431,1808,0,1808
4424,1655,0,1655
3785,277,0,277
8364,860,0,860
9537,642,0,642
1075,443,0,443
10373,271,0,271
3262,308,0,308
1226,439,0,439
3497,1417,0,1417
1905,692,0,692
718,1540,0,1540
3316,1118,0,1118
5180,1699,0,1699
2471,908,0,908
1686,599,0,599
3504,1943,0,1943
3039,101,0,101
10340,331,21,352
11919,185,2,187
772,594,0,594
702,930,0,930
2621,1025,0,1025
7222,433,0,433
10303,533,1,534
5916,353,0,353
956,1257,0,1257
2199,1445,0,1445
585,30,0,30
1596,789,0,789
527,767,0,767
4349,1471,0,1471
1577,922,0,922
8873,146,0,146
7563,139,0,139
6598,553,0,553
322,454,0,454
7768,655,0,655
9458,306,0,306
6247,626,0,626
8017,179,1,180
3660,1040,6,1046
3072,549,0,549
9597,699,1,700
11665,294,2,296
6500,703,0,703
568,328,0,328
6328,398,6,404
10923,152,0,152
7595,170,4,174
6793,603,0,603
11851,187,0,187
7335,701,0,701
7302,454,0,454
2642,490,0,490
5607,31,0,31
3567,390,0,390
7469,374,0,374
1067,460,0,460
7822,105,2,107
10130,305,0,305
5928,778,0,778
8119,706,0,706
6620,473,0,473
8908,369,0,369
7233,479,0,479
11365,416,0,416
7500,239,0,239
6491,300,0,300
10550,216,0,216
11813,136,0,136
4930,750,0,750
12146,73,142,215
10453,171,0,171
4936,599,0,599
10820,558,0,558
11354,164,0,164
1929,724,0,724
11926,195,0,195
8180,274,0,274
6771,438,0,438
105,509,0,509
8719,257,10,267
5267,320,0,320
634,473,0,473
8315,398,0,398
11009,9,0,9
12005,237,4,241
10090,548,0,548
11516,79,1,80
11903,157,0,157
10405,247,0,247
7175,851,0,851
10932,138,4,142
10903,352,36,388
1048,124,0,124
2974,622,0,622
6965,689,0,689
8602,341,0,341
2998,539,0,539
10238,559,0,559
5876,83,138,221
1108,570,0,570
7700,832,0,832
10941,323,0,323
6401,245,0,245
7570,747,0,747
10795,84,4,88
6854,765,4,769
9075,74,0,74
11721,172,0,172
9612,173,0,173
11840,103,0,103
10606,349,0,349
809,1169,0,1169
9900,949,0,949
10445,243,0,243
12152,198,0,198
102,1345,0,1345
11411,602,0,602
6761,506,0,506
4922,588,0,588
2449,1186,0,1186
9203,1442,0,1442
10492,634,0,634
10433,334,0,334
5686,504,0,504
9709,125,38,163
7540,607,0,607
11661,379,0,379
1571,768,0,768
3459,272,0,272
1438,721,0,721
7725,23,0,23
7078,205,0,205
3628,838,0,838
8132,46,65,111
5279,892,0,892
6798,365,0,365
2986,699,0,699
4202,1336,55,1391
10345,243,1,244
4107,484,0,484
1776,958,0,958
11950,388,161,549
5472,332,0,332
5522,485,0,485
12071,59,64,123
3531,2068,0,2068
677,827,0,827
2598,519,0,519
10451,214,0,214
6567,11,70,81
7558,2019,0,2019
11474,337,0,337
4404,675,0,675
10169,82,0,82
7701,297,0,297
5142,136,5,141
2674,946,1,947
3825,1008,0,1008
10913,99,0,99
5007,501,0,501
5672,1382,0,1382
10349,398,0,398
5817,76,0,76
10006,485,0,485
122,377,0,377
12099,91,3,94
591,681,0,681
12144,100,14,114
12083,135,0,135
816,1382,0,1382
2505,9,0,9
8692,630,421,1051
3617,84,0,84
4644,587,0,587
861,777,0,777
11982,407,0,407
1374,46,0,46
2585,388,0,388
5980,195,0,195
3281,16,0,16
12082,206,0,206
11620,31,0,31
