node,in-degree,out-degree,edge-count
2121,481,682,1163
4391,54,36,90
8927,106,104,210
398,365,1690,2055
4000,185,759,944
5668,353,414,767
652,658,582,1240
60,126,15,141
9018,1167,2316,3483
3079,464,1995,2459
6000,330,287,617
5615,72,58,130
5376,32,2,34
7213,88,86,174
8339,53,16,69
7601,71,0,71
10935,135,94,229
10096,140,31,171
8035,236,211,447
2539,53,22,75
4594,19,14,33
5700,829,634,1463
10582,37,14,51
2351,123,141,264
7419,21,1,22
4480,49,42,91
8233,57,41,98
8725,34,18,52
8397,435,181,616
11275,168,161,329
9547,280,217,497
3498,27,12,39
9946,33,15,48
10033,29,6,35
4899,32,3,35
5084,28,0,28
5149,28,0,28
7899,100,74,174
6687,28,1,29
9725,28,0,28
7087,44,17,61
7981,44,17,61
7997,31,0,31
9746,78,46,124
8523,28,0,28
8972,35,0,35
9064,30,2,32
358,639,1035,1674
218,22,2,24
2113,22,3,25
2114,10,7,17
2411,21,7,28
8183,142,26,168
9356,18,8,26
7346,19,6,25
1426,95,13,108
4177,122,38,160
6179,272,140,412
285,135,14,149
882,89,2,91
3893,397,985,1382
4664,397,25,422
186,599,1569,2168
2760,118,4,122
10216,79,8,87
8737,125,31,156
9722,138,35,173
6027,522,1238,1760
6161,450,1617,2067
7915,152,83,235
9533,229,392,621
6289,207,439,646
9168,105,23,128
9439,221,207,428
5858,176,374,550
6363,126,77,203
5825,109,44,153
1163,506,361,867
7179,549,589,1138
5635,561,1269,1830
1338,401,179,580
3452,201,24,225
5914,459,826,1285
1671,687,1081,1768
6547,457,642,1099
6121,460,218,678
2878,216,135,351
932,539,365,904
1114,428,40,468
1217,292,703,995
1247,155,4,159
1383,213,225,438
1428,323,8,331
1436,346,22,368
1837,434,168,602
1930,399,18,417
1942,404,258,662
1990,397,44,441
2084,418,255,673
2219,191,23,214
2554,168,92,260
3243,52,6,58
3415,375,8,383
3615,789,801,1590
3793,2075,4477,6552
3933,740,1189,1929
3980,545,515,1060
3997,1084,1581,2665
4006,408,315,723
4016,553,686,1239
4063,299,91,390
4064,485,650,1135
4182,361,125,486
4207,439,32,471
4242,487,49,536
4338,617,796,1413
4363,665,532,1197
4406,468,111,579
4482,366,229,595
4641,472,245,717
4649,414,447,861
4661,373,10,383
4806,386,503,889
5106,392,3,395
5340,393,15,408
9680,466,252,718
5969,416,21,437
6071,443,29,472
6080,419,70,489
6122,421,410,831
6380,1796,6143,7939
6580,447,33,480
7136,166,77,243
7878,370,15,385
10470,396,726,1122
10689,461,195,656
9037,456,3,459
3409,363,91,454
3179,41,8,49
2694,408,686,1094
7624,19,1,20
3722,194,79,273
2781,345,195,540
7418,170,48,218
1507,378,38,416
8932,510,252,762
6297,103,35,138
1865,151,2,153
2821,384,210,594
4117,326,115,441
4844,417,151,568
8931,341,653,994
3878,1397,6068,7465
5353,1125,1480,2605
7056,237,213,450
8320,177,39,216
1686,48,55,103
6521,224,81,305
6371,1218,4305,5523
9920,291,540,831
708,199,23,222
7539,105,8,113
1995,123,24,147
2433,130,32,162
2463,344,434,778
3038,146,36,182
3071,177,69,246
3173,272,39,311
3253,116,12,128
3406,149,22,171
3865,90,11,101
3868,262,157,419
