node,in-degree,out-degree,edge-count,closeness,betweenness,pagerank
1688,2.0,1.0,3.0,0.10847457627118645,0.0,0.006712475265344245
5559,2.0,0.0,2.0,0.10847457627118645,0.0,0.006712475265344245
4323,3.0,0.0,3.0,0.1277098935750887,0.0,0.01497550289889692
3645,2.0,0.0,2.0,0.10847457627118645,0.0,0.006712475265344245
5263,2.0,0.0,2.0,0.10847457627118645,0.0,0.006712475265344245
2141,2.0,1.0,3.0,0.10035682426404995,0.00657510227936879,0.006712475265344245
5028,5.0,4.0,9.0,0.1194708557255064,0.0,0.04472994998538702
9521,2.0,0.0,2.0,0.10847457627118645,0.0,0.006712475265344245
7756,3.0,1.0,4.0,0.10847457627118645,0.0,0.044729949985387034
3621,2.0,0.0,2.0,0.10847457627118645,0.0,0.006712475265344245
6091,2.0,0.0,2.0,0.10847457627118645,0.0,0.006712475265344245
3846,14.0,13.0,27.0,0.1271186440677966,0.01694915254237288,0.05737804269687994
4633,12.0,9.0,21.0,0.11216350947158524,0.0,0.04527930380739942
3747,2.0,0.0,2.0,0.10847457627118645,0.0,0.006712475265344245
3522,9.0,7.0,16.0,0.13619854721549635,0.08343074225599065,0.03413604375340003
6193,10.0,66.0,76.0,0.1059322033898305,0.05347749853886616,0.021607176049842195
6129,2.0,0.0,2.0,0.10847457627118645,0.0,0.006712475265344245
4799,7.0,6.0,13.0,0.1271186440677966,0.01694915254237288,0.04861439408407993
5458,2.0,0.0,2.0,0.10847457627118645,0.0,0.006712475265344245
6730,2.0,0.0,2.0,0.10847457627118645,0.0,0.006712475265344245
3218,5.0,3.0,8.0,0.1059322033898305,0.0,0.01819151841641077
1558,2.0,0.0,2.0,0.10847457627118645,0.0,0.006712475265344245
5095,3.0,0.0,3.0,0.1194708557255064,0.0,0.012418153518563402
7889,27.0,80.0,107.0,0.14124293785310735,0.18220338983050846,0.04734792635299225
4118,2.0,0.0,2.0,0.10847457627118645,0.0,0.006712475265344245
3134,2.0,0.0,2.0,0.10847457627118645,0.0,0.006712475265344245
9450,2.0,0.0,2.0,0.10847457627118645,0.0,0.006712475265344245
4258,5.0,2.0,7.0,0.1194708557255064,0.0002922267679719462,0.0194419487826787
5670,3.0,3.0,6.0,0.1194708557255064,0.0,0.01497550289889692
3957,4.0,3.0,7.0,0.10035682426404995,0.0,0.009754598374800298
5513,2.0,0.0,2.0,0.10847457627118645,0.0,0.006712475265344245
7255,2.0,0.0,2.0,0.10847457627118645,0.0,0.006712475265344245
1673,2.0,0.0,2.0,0.10847457627118645,0.0,0.006712475265344245
5301,2.0,0.0,2.0,0.10847457627118645,0.0,0.006712475265344245
9293,2.0,0.0,2.0,0.10847457627118645,0.0,0.006712475265344245
3302,4.0,2.0,6.0,0.10035682426404995,0.0,0.007718642398813575
5201,2.0,0.0,2.0,0.10847457627118645,0.0,0.006712475265344245
9700,2.0,1.0,3.0,0.10035682426404995,0.0002922267679719462,0.006712475265344245
5018,3.0,1.0,4.0,0.1194708557255064,0.0,0.04472994998538702
2292,2.0,0.0,2.0,0.10847457627118645,0.0,0.006712475265344245
2855,3.0,1.0,4.0,0.10847457627118645,0.0,0.04472994998538702
3753,2.0,0.0,2.0,0.10847457627118645,0.0,0.006712475265344245
4496,3.0,1.0,4.0,0.1194708557255064,0.0,0.04472994998538702
5351,2.0,0.0,2.0,0.10847457627118645,0.0,0.006712475265344245
2049,2.0,0.0,2.0,0.10847457627118645,0.0,0.006712475265344245
3822,2.0,0.0,2.0,0.10847457627118645,0.0,0.006712475265344245
1376,2.0,0.0,2.0,0.10847457627118645,0.0,0.006712475265344245
2251,2.0,0.0,2.0,0.10847457627118645,0.0,0.006712475265344245
4657,2.0,0.0,2.0,0.10847457627118645,0.0,0.006712475265344245
7005,2.0,0.0,2.0,0.10847457627118645,0.0,0.006712475265344245
4867,3.0,1.0,4.0,0.10035682426404995,0.0002922267679719462,0.00721555883207891
1121,4.0,2.0,6.0,0.12301804264625478,0.0,0.020489039887839747
7648,3.0,5.0,8.0,0.10035682426404995,0.0,0.006990754313702344
5681,8.0,6.0,14.0,0.1059322033898305,0.01694915254237288,0.027008379044151473
7428,2.0,0.0,2.0,0.10847457627118645,0.0,0.006712475265344245
4622,7.0,4.0,11.0,0.13619854721549635,0.034190531852717705,0.03841122970381557
5563,2.0,0.0,2.0,0.10847457627118645,0.0,0.006712475265344245
9861,3.0,1.0,4.0,0.10847457627118645,0.0,0.04472994998538702
3539,2.0,0.0,2.0,0.10847457627118645,0.0,0.006712475265344245
4938,6.0,3.0,9.0,0.1194708557255064,0.0,0.04472994998538703
