node,message_in,message_out,trade_in,trade_out
3404,1,0,0,11
11662,1,0,0,0
10862,1,0,0,0
7768,0,0,2,2
3175,19,19,62,62
11699,1,5,4,8
11990,0,2,0,0
1256,3,3,11,11
12558,1,0,0,0
12288,2,3,0,0
9717,9,5,9,9
12508,0,2,4,0
5437,1,1,0,0
12407,1,0,0,0
11964,7,1,0,1
1381,1,0,0,0
9603,0,0,0,55
5214,3,1,0,1
2328,3,5,0,1
10928,2,2,11,2
12194,0,1,0,0
7858,1,0,0,0
9800,15,15,0,0
10225,2,1,0,0
12349,2,5,2,0
4852,1,0,1,0
12532,2,1,0,0
6500,2,0,2,0
9671,12,13,74,99
11931,3,0,0,0
8011,2,0,0,0
618,2,0,3,2
12238,2,1,9,10
11700,1,0,5,5
11151,7,6,1,1
12342,18,21,13,0
11884,1,2,0,0
2987,2,0,2,0
2936,1,0,0,0
11113,0,0,2,0
12096,2,0,0,0
4004,0,0,1,0
9917,1,2,0,0
9834,5,1,0,0
1439,0,0,3,121
7484,5,11,29,34
11994,0,2,0,0
11909,18,34,2,4
11205,0,0,0,4
12320,6,10,8,6
12381,2,4,0,0
4048,1,1,0,0
2680,2,0,0,0
11056,1,1,0,0
5817,1,1,1,9
6713,1,0,0,0
3787,2,2,0,0
2256,2,1,41,38
4763,14,10,1,1
12581,2,3,17,5
11506,0,1,0,0
11528,0,1,0,0
12006,1,1,0,0
12220,0,0,0,1
8041,0,0,0,25
9748,1,0,0,0
9075,4,3,0,1
12049,0,0,1,0
12688,2,2,2,0
12685,3,3,0,0
12362,0,1,1,16
12489,8,5,0,0
12337,8,13,28,6
3183,0,1,0,0
12617,1,1,1,1
12670,10,11,1,0
10565,10,12,38,50
11754,1,0,15,1
9447,3,2,0,0
7721,1,0,0,0
3316,1,0,0,0
7897,4,4,0,0
9221,25,15,37,37
11997,0,0,1,0
11869,15,19,3,9
9817,0,0,0,13
3231,8,15,0,18
12615,1,0,0,0
12218,1,0,0,0
8908,0,1,0,0
11514,0,1,1,0
11729,3,4,0,0
11746,7,10,0,0
12373,1,0,0,0
9851,6,7,4,2
11377,0,2,2,2
12076,1,1,0,0
12651,0,1,0,0
12311,6,9,0,0
12341,0,0,1,1
12165,12,17,1,1
12182,19,26,6,7
12686,0,1,0,0
12176,4,5,2,0
1366,1,0,0,0
951,2,3,0,0
12425,1,1,0,0
11354,1,0,0,0
10594,0,0,38,47
4828,1,0,0,0
9044,5,3,8,8
12417,0,2,0,0
12504,2,4,0,0
1928,2,2,0,0
733,1,0,0,0
5267,2,0,0,2
3238,3,3,0,0
11775,40,43,12,18
12431,0,1,0,0
2431,0,0,12,12
12643,0,0,4,16
10445,6,14,0,0
10668,8,6,2,4
11703,0,1,4,4
6269,1,0,0,0
11242,40,30,201,170
8797,0,0,6,15
6181,4,4,2,2
11978,2,2,0,0
6911,1,1,0,0
9735,1,1,0,0
10336,68,27,1,0
1224,9,12,0,3
824,8,0,4,0
12607,1,1,0,4
291,9,10,1,0
12621,1,0,0,0
7542,1,0,0,0
12240,72,85,18,18
4481,1,0,0,0
11039,1,0,6,6
12628,0,1,0,0
4457,3,1,0,0
12164,8,6,0,0
8140,0,0,0,1
12111,1,2,0,0
4269,0,0,1,0
12345,1,7,0,0
10857,1,0,0,0
4517,1,3,0,2
6160,0,0,0,14
9444,59,55,3,80
7316,16,14,0,0
502,0,0,25,25
12203,58,59,4,0
12249,0,2,0,0
7665,1,0,0,0
11762,0,0,0,11
4334,10,25,0,0
2871,1,0,0,0
12586,0,1,1,0
7123,2,0,0,0
7138,5,13,15,18
1577,1,0,0,0
11012,1,0,0,0
10088,16,18,58,58
5262,2,0,0,0
158,60,34,0,0
12122,1,0,0,3
7335,6,4,0,0
7558,2,0,0,0
12616,1,0,0,0
12408,10,6,2,2
9460,1,0,0,0
